rollout,reward
100,[-80.8]
200,[974.45]
300,[1021.25]
400,[1028.7]
500,[1015.05]
600,[1020.3]
700,[1028.95]
800,[993.25]
900,[1026.7]
1000,[1029.05]
1100,[1018.05]
1200,[1020.35]
1300,[1028.55]
1400,[1010.45]
1500,[1020.4]
1600,[1029.]
1700,[1028.8]
1800,[1029.]
1900,[1029.]
2000,[1020.35]
2100,[1020.15]
2200,[1029.]
2300,[1001.25]
2400,[1029.]
2500,[1029.]
2600,[1020.55]
2700,[1001.2]
2800,[1020.55]
2900,[1029.]
3000,[1028.8]
3100,[1029.]
3200,[1029.1]
3300,[1029.]
3400,[1029.]
3500,[1001.85]
3600,[1029.]
3700,[1029.]
3800,[1028.8]
3900,[1029.]
4000,[1029.]
4100,[1029.]
4200,[1029.]
4300,[1029.]
4400,[1029.]
4500,[1028.85]
4600,[1029.]
4700,[1029.]
4800,[1029.]
4900,[1029.]
5000,[1029.]
5100,[1029.]
5200,[1029.]
5300,[1029.]
5400,[1029.]
5500,[1029.]
5600,[1029.]
5700,[1029.]
5800,[1029.]
5900,[1029.]
6000,[1029.]
6100,[1029.]
6200,[1029.]
6300,[1029.]
6400,[1029.]
6500,[1029.]
6600,[1029.]
6700,[1029.]
6800,[1029.]
6900,[1029.]
7000,[1029.]
7100,[1029.]
7200,[1029.]
7300,[1029.]
