rollout,reward
100,-5459
200,31229
300,35208
400,29534
500,31383
600,36997
700,30487
800,34818
900,39026
1000,37902
1100,38634
1200,37395
1300,38631
1400,40126
1500,36462
1600,37940
1700,37146
1800,38632
1900,39082
2000,39286
2100,39970
2200,40277
2300,40128
2400,40277
2500,39970
2600,40876
2700,40576
2800,40037
2900,40426
3000,40875
3100,38691
3200,40425
3300,40725
3400,40126
3500,40875
3600,39588
3700,39726
3800,40267
3900,40270
4000,39970
4100,40576
4200,40575
4300,41024
4400,40267
4500,40425
4600,40119
4700,40267
4800,40265
4900,40119
5000,40725
5100,40876
5200,41025
5300,40270
5400,40725
5500,40268
5600,40575
5700,39969
5800,40877
5900,40728
6000,40119
6100,40270
6200,40875
6300,40425
6400,40119
6500,40576
6600,39969
6700,39970
6800,40875
6900,40575
7000,40728
7100,40575
7200,39969
7300,40575
