rollout,reward
100,[-1210.5]
200,[-1202.75]
300,[-1198.65]
400,[-1210.65]
500,[-1203.15]
600,[-1210.3]
700,[-1163.7]
800,[-1170.95]
900,[-1144.95]
1000,[-1100.55]
1100,[-1014.3]
1200,[-657.9]
1300,[-409.45]
1400,[91.9]
1500,[262.95]
1600,[529.15]
1700,[635.85]
1800,[794.6]
1900,[852.2]
2000,[807.8]
2100,[785.9]
2200,[873.75]
2300,[853.8]
2400,[874.25]
2500,[896.25]
2600,[918.7]
2700,[939.8]
2800,[990.95]
2900,[897.8]
3000,[898.8]
3100,[939.2]
3200,[888.7]
3300,[761.05]
3400,[945.5]
3500,[915.7]
3600,[956.35]
3700,[932.6]
3800,[1011.6]
3900,[998.2]
4000,[967.15]
4100,[947.]
4200,[938.15]
4300,[1028.6]
4400,[937.95]
4500,[1018.6]
4600,[980.]
4700,[1002.7]
4800,[1028.4]
4900,[1004.1]
5000,[1021.15]
5100,[973.4]
5200,[993.55]
5300,[1028.45]
5400,[1028.05]
5500,[939.35]
5600,[1008.]
5700,[1028.15]
5800,[1028.75]
5900,[1028.1]
6000,[1003.]
6100,[986.4]
6200,[1028.55]
6300,[1028.9]
6400,[1028.65]
6500,[1029.]
6600,[992.65]
6700,[1029.]
6800,[1021.05]
6900,[997.25]
7000,[1013.8]
7100,[1028.95]
7200,[1018.8]
7300,[1028.8]
