rollout,reward
100,-48808
200,-49551
300,-50577
400,-49073
500,-50756
600,-47248
700,-46321
800,-43849
900,-42096
1000,-37401
1100,-27758
1200,-24098
1300,-7907
1400,2303
1500,11657
1600,12090
1700,16419
1800,21539
1900,22642
2000,24395
2100,27849
2200,29834
2300,31503
2400,29644
2500,26679
2600,26060
2700,28329
2800,30096
2900,24484
3000,32547
3100,27913
3200,28241
3300,30729
3400,31027
3500,34115
3600,33863
3700,33511
3800,31554
3900,33681
4000,38493
4100,35169
4200,34242
4300,37144
4400,35655
4500,39086
4600,32713
4700,40290
4800,37296
4900,34159
5000,36190
5100,34752
5200,36243
5300,35500
5400,36801
5500,37647
5600,37592
5700,32666
5800,37302
5900,34249
6000,37953
6100,39080
6200,39689
6300,37501
6400,36947
6500,35326
6600,32600
6700,36989
6800,35472
6900,38255
7000,38043
7100,37246
7200,37049
7300,39084
