rollout,reward
100,[-1146.25]
200,[-1178.5]
300,[-1168.1]
400,[-1028.35]
500,[-772.5]
600,[-1066.8]
700,[-916.35]
800,[-1030.15]
900,[-934.35]
1000,[-793.9]
1100,[-875.7]
1200,[-974.45]
1300,[-866.3]
1400,[-969.3]
1500,[-885.1]
1600,[-933.05]
1700,[-908.7]
1800,[-968.95]
1900,[-1179.65]
2000,[-1072.05]
2100,[-831.5]
2200,[-919.65]
2300,[-1055.9]
2400,[-988.25]
2500,[-889.1]
2600,[-886.25]
2700,[-815.35]
2800,[-884.0]
2900,[-1159.5]
3000,[-957.9]
3100,[-906.15]
3200,[-872.9]
3300,[-897.65]
3400,[-978.75]
3500,[-959.6]
3600,[-967.85]
3700,[-734.45]
3800,[-885.9]
3900,[-915.05]
4000,[-903.05]
4100,[-947.1]
4200,[-929.5]
4300,[-826.8]
4400,[-969.15]
4500,[-787.4]
4600,[-888.7]
4700,[-874.45]
4800,[-880.2]
4900,[-873.35]
5000,[-939.2]
5100,[-903.65]
5200,[-915.3]
5300,[-865.2]
5400,[-974.05]
5500,[-1048.6]
5600,[-753.55]
5700,[-883.05]
5800,[-1005.7]
5900,[-853.15]
6000,[-896.65]
6100,[-988.9]
6200,[-923.8]
6300,[-904.75]
6400,[-923.1]
6500,[-947.5]
6600,[-963.75]
6700,[-873.8]
6800,[-1205.45]
6900,[-1116.15]
7000,[-901.05]
7100,[-848.4]
7200,[-787.55]
7300,[-1029.25]
7400,[-954.0]
7500,[-834.55]
7600,[-874.85]
7700,[-895.95]
7800,[-917.4]
7900,[-860.7]
8000,[-852.7]
8100,[-887.25]
8200,[-905.2]
8300,[-916.05]
8400,[-917.85]
8500,[-888.15]
8600,[-885.3]
8700,[-944.9]
8800,[-864.35]
8900,[-974.8]
9000,[-963.85]
9100,[-957.6]
9200,[-830.7]
9300,[-922.45]
9400,[-897.4]
9500,[-903.4]
9600,[-903.35]
9700,[-912.8]
9800,[-847.1]
9900,[-836.25]
10000,[-937.85]
10100,[-867.1]
10200,[-989.55]
10300,[-854.2]
10400,[-897.35]
10500,[-908.45]
10600,[-816.5]
10700,[-691.95]
10800,[-1108.15]
10900,[-921.45]
11000,[-861.7]
11100,[-837.7]
11200,[-1025.6]
11300,[-858.75]
11400,[-795.0]
11500,[-817.75]
11600,[-748.1]
11700,[-1092.25]
11800,[-778.4]
11900,[-824.65]
12000,[-844.1]
12100,[-843.3]
12200,[-917.75]
12300,[-999.05]
12400,[-903.3]
12500,[-870.7]
12600,[-838.35]
12700,[-940.2]
12800,[-866.1]
12900,[-958.7]
13000,[-988.85]
13100,[-918.4]
13200,[-812.7]
13300,[-838.3]
13400,[-908.65]
13500,[-846.1]
13600,[-876.05]
13700,[-953.5]
13800,[-990.4]
13900,[-931.35]
14000,[-942.55]
14100,[-877.25]
14200,[-800.25]
14300,[-1171.3]
14400,[-890.95]
14500,[-936.45]
14600,[-842.05]
14700,[-887.6]
14800,[-844.75]
14900,[-877.95]
15000,[-1168.8]
15100,[-927.65]
15200,[-892.85]
15300,[-893.45]
15400,[-911.9]
15500,[-775.35]
15600,[-910.4]
15700,[-853.95]
15800,[-810.7]
15900,[-869.25]
16000,[-899.1]
16100,[-899.9]
16200,[-1029.9]
16300,[-878.9]
16400,[-867.75]
16500,[-856.95]
16600,[-972.55]
16700,[-1187.9]
16800,[-812.4]
16900,[-1160.25]
17000,[-915.35]
17100,[-912.75]
17200,[-889.65]
17300,[-1012.8]
17400,[-1001.6]
17500,[-933.9]
17600,[-1148.9]
17700,[-917.9]
17800,[-1042.1]
17900,[-816.0]
18000,[-848.7]
18100,[-848.7]
18200,[-903.35]
18300,[-1192.85]
18400,[-1159.1]
18500,[-1109.35]
18600,[-1202.55]
18700,[-1217.6]
18800,[-1072.0]
18900,[-859.25]
19000,[-874.3]
19100,[-919.8]
19200,[-978.9]
19300,[-923.8]
19400,[-995.95]
19500,[-996.8]
19600,[-1144.2]
19700,[-1077.5]
19800,[-1084.6]
19900,[-909.4]
20000,[-935.85]
20100,[-1029.1]
20200,[-1137.6]
20300,[-1184.0]
20400,[-1109.1]
20500,[-1137.35]
20600,[-933.15]
20700,[-1013.3]
20800,[-1210.7]
20900,[-1167.1]
21000,[-992.45]
21100,[-1111.1]
21200,[-1149.15]
21300,[-1144.35]
21400,[-1180.9]
21500,[-1168.4]
21600,[-930.8]
21700,[-1211.4]
21800,[-1221.45]
21900,[-1201.3]
22000,[-1210.45]
22100,[-1210.25]
22200,[-1218.05]
22300,[-1213.9]
22400,[-1220.9]
22500,[-1215.85]
22600,[-1220.8]
22700,[-1210.7]
22800,[-1218.35]
22900,[-1187.9]
23000,[-1192.75]
23100,[-1213.95]
23200,[-1205.55]
23300,[-1201.9]
23400,[-1182.5]
23500,[-1210.45]
23600,[-1222.2]
23700,[-1208.2]
23800,[-1197.4]
23900,[-1194.05]
24000,[-1190.3]
24100,[-1185.95]
24200,[-1080.15]
24300,[-1203.4]
24400,[-1215.85]
24500,[-1220.6]
24600,[-1202.25]
24700,[-1203.65]
24800,[-1099.1]
24900,[-1087.1]
25000,[-1005.25]
25100,[-928.45]
25200,[-1105.95]
25300,[-1160.15]
25400,[-1202.85]
25500,[-1187.3]
25600,[-1181.6]
25700,[-1035.7]
25800,[-1184.7]
25900,[-1169.35]
26000,[-1065.75]
26100,[-1164.55]
26200,[-1133.85]
26300,[-1195.75]
26400,[-1125.5]
26500,[-1157.85]
26600,[-1116.6]
26700,[-1107.1]
26800,[-1074.0]
26900,[-1071.8]
27000,[-1033.4]
27100,[-1114.55]
27200,[-1124.85]
27300,[-1110.25]
27400,[-1203.4]
27500,[-1077.0]
27600,[-1113.5]
27700,[-1081.85]
27800,[-1066.35]
27900,[-1085.8]
28000,[-1136.7]
28100,[-1052.75]
28200,[-1065.7]
28300,[-1096.5]
28400,[-1003.95]
28500,[-1196.75]
28600,[-1208.85]
28700,[-1084.65]
28800,[-1059.6]
28900,[-1190.6]
29000,[-1173.05]
29100,[-1207.65]
29200,[-1060.1]
29300,[-1201.05]
29400,[-1212.9]
29500,[-1220.7]
29600,[-1221.8]
29700,[-1221.5]
29800,[-1214.8]
29900,[-1221.0]
30000,[-1217.55]
30100,[-1221.65]
30200,[-1219.75]
30300,[-1221.2]
30400,[-1217.05]
30500,[-1219.15]
30600,[-1218.95]
30700,[-1215.35]
30800,[-1219.0]
30900,[-1218.75]
31000,[-1216.85]
31100,[-1216.7]
31200,[-1216.25]
31300,[-1215.85]
31400,[-1218.05]
31500,[-1219.3]
31600,[-1215.65]
31700,[-1216.3]
31800,[-1218.8]
31900,[-1215.3]
32000,[-1217.9]
32100,[-1216.2]
32200,[-1218.55]
32300,[-1218.9]
32400,[-1210.95]
32500,[-1191.45]
32600,[-1214.05]
32700,[-1216.95]
32800,[-1214.5]
32900,[-1218.8]
33000,[-1219.2]
33100,[-1219.15]
33200,[-1217.95]
33300,[-1218.45]
33400,[-1217.75]
33500,[-1219.65]
33600,[-1220.25]
33700,[-1219.05]
33800,[-1213.05]
33900,[-1216.65]
34000,[-1219.55]
34100,[-1218.2]
34200,[-1218.5]
34300,[-1208.15]
34400,[-1186.25]
34500,[-1218.9]
34600,[-1218.9]
34700,[-1201.25]
34800,[-1218.1]
34900,[-1211.1]
35000,[-1219.05]
35100,[-1216.7]
35200,[-1219.9]
35300,[-1222.65]
35400,[-1222.25]
35500,[-1217.75]
35600,[-1222.75]
35700,[-1221.9]
35800,[-1220.55]
35900,[-1221.7]
36000,[-1222.5]
36100,[-1220.95]
36200,[-1218.65]
36300,[-1220.9]
36400,[-1219.4]
36500,[-1221.7]
