rollout,reward
100,[-1191.2]
200,[-1160.5]
300,[-1122.95]
400,[-1070.1]
500,[-1043.6]
600,[-1019.75]
700,[-965.35]
800,[-903.95]
900,[-900.05]
1000,[-990.0]
1100,[-1010.1]
1200,[-1033.9]
1300,[-1017.8]
1400,[-994.7]
1500,[-1089.9]
1600,[-994.7]
1700,[-1016.3]
1800,[-958.25]
1900,[-908.95]
2000,[-968.1]
2100,[-996.15]
2200,[-990.8]
2300,[-915.3]
2400,[-982.6]
2500,[-1016.3]
2600,[-968.9]
2700,[-907.95]
2800,[-1030.8]
2900,[-996.8]
3000,[-1085.1]
3100,[-1046.65]
3200,[-993.65]
3300,[-999.25]
3400,[-930.4]
3500,[-957.25]
3600,[-1005.75]
3700,[-999.2]
3800,[-992.65]
3900,[-1075.25]
4000,[-997.7]
4100,[-921.85]
4200,[-982.75]
4300,[-969.15]
4400,[-1053.35]
4500,[-987.75]
4600,[-989.95]
4700,[-960.5]
4800,[-984.95]
4900,[-933.1]
5000,[-976.8]
5100,[-1014.35]
5200,[-863.85]
5300,[-909.25]
5400,[-860.95]
5500,[-997.2]
5600,[-917.85]
5700,[-943.05]
5800,[-965.35]
5900,[-941.0]
6000,[-971.0]
6100,[-986.5]
6200,[-954.95]
6300,[-1045.25]
6400,[-976.35]
6500,[-948.3]
6600,[-922.4]
6700,[-945.7]
6800,[-1023.8]
6900,[-994.9]
7000,[-937.5]
7100,[-917.05]
7200,[-1056.0]
7300,[-939.65]
7400,[-874.4]
7500,[-944.85]
7600,[-973.25]
7700,[-832.5]
7800,[-970.3]
7900,[-961.35]
8000,[-959.55]
8100,[-963.9]
8200,[-1035.0]
8300,[-915.1]
8400,[-907.65]
8500,[-952.15]
8600,[-850.0]
8700,[-950.3]
8800,[-921.55]
8900,[-916.5]
9000,[-1029.85]
9100,[-887.45]
9200,[-998.15]
9300,[-937.0]
9400,[-920.25]
9500,[-963.75]
9600,[-903.35]
9700,[-1003.65]
9800,[-921.65]
9900,[-951.3]
10000,[-875.85]
10100,[-934.2]
10200,[-948.8]
10300,[-808.05]
10400,[-901.25]
10500,[-902.6]
10600,[-965.5]
10700,[-899.55]
10800,[-883.65]
10900,[-916.45]
11000,[-875.0]
11100,[-914.4]
11200,[-942.3]
11300,[-847.2]
11400,[-960.25]
11500,[-942.3]
11600,[-956.45]
11700,[-780.35]
11800,[-895.05]
11900,[-902.45]
12000,[-925.2]
12100,[-774.15]
12200,[-866.05]
12300,[-876.0]
12400,[-818.85]
12500,[-846.7]
12600,[-793.1]
12700,[-839.65]
12800,[-911.7]
12900,[-922.45]
13000,[-872.15]
13100,[-881.75]
13200,[-821.2]
13300,[-881.9]
13400,[-917.2]
13500,[-843.9]
13600,[-804.05]
13700,[-765.5]
13800,[-803.15]
13900,[-761.75]
14000,[-851.3]
14100,[-739.65]
14200,[-853.55]
14300,[-823.25]
14400,[-863.4]
14500,[-867.25]
14600,[-777.7]
14700,[-822.2]
14800,[-856.25]
14900,[-875.5]
15000,[-796.1]
15100,[-850.3]
15200,[-808.75]
15300,[-894.6]
15400,[-823.4]
15500,[-862.45]
15600,[-764.65]
15700,[-811.1]
15800,[-825.6]
15900,[-821.0]
16000,[-811.15]
16100,[-883.9]
16200,[-897.5]
16300,[-820.65]
16400,[-772.8]
16500,[-781.55]
16600,[-806.55]
16700,[-785.15]
16800,[-762.4]
16900,[-879.8]
17000,[-870.0]
17100,[-852.4]
17200,[-818.55]
17300,[-774.55]
17400,[-879.35]
17500,[-791.35]
17600,[-751.2]
17700,[-858.0]
17800,[-833.35]
17900,[-846.25]
18000,[-903.85]
18100,[-808.15]
18200,[-773.75]
18300,[-735.4]
18400,[-831.5]
18500,[-799.85]
18600,[-795.95]
18700,[-861.65]
18800,[-884.4]
18900,[-864.85]
19000,[-767.5]
19100,[-844.75]
19200,[-823.65]
19300,[-853.7]
19400,[-743.5]
19500,[-855.05]
19600,[-745.95]
19700,[-733.65]
19800,[-857.9]
19900,[-792.75]
20000,[-971.1]
20100,[-863.6]
20200,[-943.15]
20300,[-832.2]
20400,[-837.2]
20500,[-791.35]
20600,[-812.5]
20700,[-818.3]
20800,[-847.65]
20900,[-855.8]
21000,[-782.85]
21100,[-801.9]
21200,[-894.95]
21300,[-771.75]
21400,[-832.55]
21500,[-864.9]
21600,[-809.65]
21700,[-841.05]
21800,[-849.3]
21900,[-914.45]
22000,[-735.0]
22100,[-838.05]
22200,[-771.4]
22300,[-857.85]
22400,[-854.05]
22500,[-853.95]
22600,[-728.15]
22700,[-812.6]
22800,[-833.45]
22900,[-846.5]
23000,[-729.65]
23100,[-844.6]
23200,[-832.25]
23300,[-793.2]
23400,[-828.25]
23500,[-834.6]
23600,[-784.0]
23700,[-799.4]
23800,[-820.9]
23900,[-870.7]
24000,[-850.3]
24100,[-837.7]
24200,[-817.35]
24300,[-841.15]
24400,[-839.1]
24500,[-814.55]
24600,[-792.9]
24700,[-704.2]
24800,[-801.8]
24900,[-903.1]
25000,[-731.55]
25100,[-773.2]
25200,[-757.75]
25300,[-844.4]
25400,[-786.65]
25500,[-895.55]
25600,[-818.6]
25700,[-759.35]
25800,[-849.45]
25900,[-754.1]
26000,[-809.6]
26100,[-868.4]
26200,[-792.25]
26300,[-717.65]
26400,[-740.4]
26500,[-721.05]
26600,[-877.15]
26700,[-798.55]
26800,[-864.95]
26900,[-950.2]
27000,[-789.15]
27100,[-772.25]
27200,[-657.7]
27300,[-814.2]
27400,[-863.15]
27500,[-743.7]
27600,[-838.05]
27700,[-819.0]
27800,[-729.2]
27900,[-765.4]
28000,[-894.9]
28100,[-742.85]
28200,[-807.2]
28300,[-787.55]
28400,[-846.0]
28500,[-789.75]
28600,[-830.85]
28700,[-807.4]
28800,[-773.5]
28900,[-740.55]
29000,[-786.8]
29100,[-786.7]
29200,[-749.75]
29300,[-872.95]
29400,[-841.3]
29500,[-849.25]
29600,[-839.0]
29700,[-787.65]
29800,[-838.9]
29900,[-751.7]
30000,[-879.95]
30100,[-828.35]
30200,[-768.05]
30300,[-865.25]
30400,[-816.5]
30500,[-770.0]
30600,[-807.85]
30700,[-840.9]
30800,[-760.1]
30900,[-742.25]
31000,[-747.35]
31100,[-812.85]
31200,[-706.35]
31300,[-842.95]
31400,[-824.55]
31500,[-789.25]
31600,[-768.05]
31700,[-780.5]
31800,[-891.45]
31900,[-740.05]
32000,[-791.8]
32100,[-797.05]
32200,[-885.45]
32300,[-784.55]
32400,[-768.5]
32500,[-809.95]
32600,[-729.85]
32700,[-748.35]
32800,[-762.2]
32900,[-768.2]
33000,[-814.8]
33100,[-763.3]
33200,[-799.1]
33300,[-787.65]
33400,[-809.1]
33500,[-769.65]
33600,[-756.65]
33700,[-749.55]
33800,[-762.6]
33900,[-822.4]
34000,[-722.6]
34100,[-868.55]
34200,[-840.55]
34300,[-865.5]
34400,[-825.65]
34500,[-854.7]
34600,[-739.75]
34700,[-798.75]
34800,[-741.45]
34900,[-885.85]
35000,[-760.85]
35100,[-801.4]
35200,[-835.5]
35300,[-816.9]
35400,[-908.15]
35500,[-788.75]
35600,[-753.95]
35700,[-870.3]
35800,[-780.3]
35900,[-840.75]
36000,[-779.75]
36100,[-818.2]
36200,[-662.1]
36300,[-806.7]
36400,[-770.05]
36500,[-735.5]
