rollout,reward
100,[-846.55]
200,[-626.75]
300,[163.8]
400,[48.35]
500,[-21.15]
600,[-307.]
700,[-138.55]
800,[576.65]
900,[-182.85]
1000,[510.1]
1100,[-322.85]
1200,[696.85]
1300,[912.1]
1400,[704.05]
1500,[773.]
1600,[1052.15]
1700,[423.3]
1800,[804.25]
1900,[927.25]
2000,[389.65]
2100,[757.65]
2200,[439.05]
2300,[901.95]
2400,[638.35]
2500,[840.45]
2600,[-715.8]
2700,[-453.]
2800,[145.75]
2900,[-182.25]
3000,[5.75]
3100,[-245.95]
3200,[790.7]
3300,[7.65]
3400,[547.65]
3500,[59.75]
3600,[386.35]
3700,[-148.8]
3800,[-340.8]
3900,[626.9]
4000,[738.35]
4100,[576.1]
4200,[697.2]
4300,[-282.75]
4400,[-84.]
4500,[701.35]
4600,[513.95]
4700,[214.7]
4800,[775.15]
4900,[332.85]
5000,[974.]
5100,[832.8]
5200,[-749.35]
5300,[773.9]
5400,[227.1]
5500,[236.85]
5600,[376.65]
5700,[856.15]
5800,[712.2]
5900,[799.7]
6000,[-582.]
6100,[-452.4]
6200,[724.35]
6300,[546.65]
6400,[304.6]
6500,[387.65]
6600,[921.3]
6700,[637.1]
6800,[565.]
6900,[943.35]
7000,[-522.1]
7100,[760.75]
7200,[-220.1]
7300,[715.25]
